Title,Author(s),Journal,Year,# times Cited (Papers),# times Cited (Patents),URL,Affiliations,Countries,Abstract
Frequency-Tunable Broadband Microwave Comb Generation Using an Integrated Mutually Coupled DFB Laser,"[""Wu Zhao"", ""Yuanfeng Mao"", ""Yaobin Li"", ""Guangcan Chen"", ""Dan Lu"", ""Qiang Kan"", ""Lingjuan Zhao""]",IEEE Photonics Technology Letters,2020,3,0,https://ieeexplore.ieee.org/document/9208646/,"[""Key Laboratory of Semiconductor Materials Science, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China""]","[""China""]","A microwave frequency comb (MFC) generator based on an integrated mutually coupled (IMC) distributed feedback (DFB) laser is demonstrated. The proposed MFC generator is simple and compact, only consisting of an IMC laser, a microwave signal generator, and a photodetector. By adjusting the bias currents of the three sections of the IMC laser and the modulation parameters, the bandwidth of the MFC can be significantly enhanced compared to the case adopting a solitary DFB laser. The characteristics of the MFC with the tuning current and the modulation parameters were investigated experimentally to determine the optimum operating condition. A broadband MFC with 40 GHz bandwidth within a ±5 dB amplitude variation was achieved under a modulation frequency of 2 GHz."
Theoretical Prediction of High-Performance Room-Temperature InGaAs/Si Single-Photon Avalanche Diode Fabricated by Semiconductor Interlayer Bonding,"[""Shaoying Ke"", ""Zhixiang Chen"", ""Jinrong Zhou"", ""Jinlong Jiao"", ""Xiaoqiang Chen"", ""Songyan Chen""]",IEEE Transactions on Electron Devices,2021,0,0,https://ieeexplore.ieee.org/document/9360497/,"[""College of Physics and Information Engineering, Minnan Normal University, Zhangzhou, China"", ""Department of Physics, Fujian Provincial Key Laboratory of Semiconductors and Applications, Collaborative Innovation Center for Optoelectronic Semiconductors and Efficient Devices, Xiamen University, Xiamen, China""]","[""China""]","Single-photon avalanche diode (SPAD) is an ultrasensitive device for the detection of weak signals. Epitaxial InP-based devices exhibit poor avalanche characteristics and poor compatibility with Si complementary metal oxide semiconductor (CMOS) circuit, and epitaxial Si-based devices show high dark count rate (DCR) and limited detection wavelength. Here we first show a new generation of InGaAs-on-Si SPADs, achieved by semiconductor interlayer bonding, for the detection of 1550-nm infrared signals theoretically. This wafer-bonded InGaAs/Si SPAD has enabled a significant step-change in performance. The dark current of this SPAD is four orders of magnitude lower than that of the epitaxial ones (300 K). High gain-bandwidth-product of 254 and 353 GHz is achieved at the gain of ~ 24 and ~ 36, respectively, for the wafer-bonded SPAD with polycrystalline Si bonding layer at InGaAs/Si bonded interface. In comparison with epitaxial SPADs, the wafer-bonded ones exhibit low DCR ( ~ 10 5 Hz at 10% V br ), high single photon detection efficiency ( ~ 24% at 10% V br ), and high pulse repetition rate (1 GHz at 5% V br ) at 300 K. These results indicate that utilizing the wafer-bonded platform, the route toward high-performance InGaAs-on-Si SPAD arrays for use in future eye-safe laser radar (LIDAR) and quantum communication at room temperature (RT) is expected to be achieved."
Picosecond-Range Avalanche Switching of Bulk Semiconductors Triggered by Steep High-Voltage Pulses,"[""Viktor I. Brylevskiy"", ""Irina A. Smirnova"", ""Natalia I. Podolska"", ""Yulia A. Zharova"", ""Pavel B. Rodin"", ""Igor V. Grekhov""]",IEEE Transactions on Plasma Science,2019,4,0,https://ieeexplore.ieee.org/document/8506403/,"[""Ioffe Institute, Saint Petersburg, Russia""]","[""Russia""]","Experimental observation and numerical simulations of sub-nanosecond avalanche switching of Si and ZnSe bulk semiconductor structures initiated by high-voltage pulses with steep (dU / dt > 10 kV/ns) ramp are reported. The measured switching time is ~100ps. The switching is sustainable and repetitive and has negligible jitter. Comparison of the experimental and numerical results suggests that after switching, the whole volume of the structure is uniformly filled with nonequilibrium electron-hole plasma."
Low-Voltage AlGaAs/GaAs Thyristors as High-Peak-Current Pulse Switches for High-Power Semiconductor Laser Pumping,"[""Sergey O. Slipchenko"", ""Aleksandr A. Podoskin"", ""Vyacheslav S. Golovin"", ""Polina S. Gavrina"", ""Victor V. Shamakhov"", ""Dmitriy N. Nikolaev"", ""Vasilii V. Zolotarev"", ""Nikita A. Pikhtin"", ""Timur A. Bagaev"", ""Maxim A. Ladugin"", ""Aleksandr A. Marmalyuk"", ""Vladimir A. Simakov""]",IEEE Transactions on Electron Devices,2020,9,0,https://ieeexplore.ieee.org/document/8908823/,"[""Ioffe Institute, Saint Petersburg, Russia"", ""Stel\u2019makh Research and Development Institute \u201cPolyus,\u201d, Moscow, Russia""]","[""Russia""]","The dynamic characteristics of a low-voltage thyristor based on an AlGaAs/GaAs heterostructure have been studied in the mode of generation of high-amplitude pulses with width of tens of nanoseconds in a circuit with low-impedance load based on an array of high-power AlGaAs/GaAs semiconductor lasers. The presented approach uses thyristors and diode laser arrays as discrete components, so it can be extended to other (not AlGaAs/GaAs-based) semiconductor lasers. It is demonstrated that a current pulse can be generated with an amplitude of 69 A and a width of 40 ns in a vertically assembled stack of an array of semiconductor lasers and thyristors. It was shown that raising the number of single thyristors does not lead to pulse broadening and makes it possible to raise several-fold the peak current amplitude to 208 A, with the peak laser emission power reaching a value of 78 W."
Theory of large-signal direct modulation of extended cavity semiconductor lasers with dispersive loss,"[""L. Ramunno"", ""J.E. Sipe""]",IEEE Journal of Quantum Electronics,2000,0,0,https://ieeexplore.ieee.org/document/890281/,"[""Department of Physics, University of Toronto, Toronto, ON, Canada""]","[""Canada""]","We present a model of coupled semiconductor diode-dispersive extended cavity lasers that describes arbitrarily large current modulation, does not assume uniform photon and carrier densities within the semiconductor diode gain medium, and is simple to implement numerically. In particular, we look at the fiber grating laser, an example of such a coupled system that has been studied as a possible optical communications source. We find simple expressions for the instantaneous frequency and intensity in terms of a few parameters characterizing the dispersion, allowing for the design of the system to minimize chirp. From these expressions we also recover Kazarinov and Henry's adiabatic chirp formula in the limit of slow modulation and Petermann's dynamical chirp formula in the limit of uniform carrier and photon densities. We show that in typical cases, where nonuniformity is important, the instantaneous frequency modulation is quantitatively and qualitatively different than is predicted by previous models."
Simultaneous generation of eight wavelengths with about 20-nm spacing from a single semiconductor laser,"[""Chi-Chia Huang"", ""Yi-Shin Su"", ""Ching-Fuh Lin""]",IEEE Photonics Technology Letters,2005,1,0,https://ieeexplore.ieee.org/document/1396052/,"[""Graduate Institute of Electro-Optical Engineering and the Department of Electrical Engineering, National Taiwan University, Taipei, Taiwan"", ""Institute of Electronics Engineering, National Taiwan University, Taipei, Taiwan""]","[""Taiwan""]","Simultaneous generation of eight wavelengths spanning from 1367.1 to 1526.9 nm with about 20-nm channel spacing is achieved using a single semiconductor laser. The full-width at half-maximum of each mode is smaller than 0.3 nm. The sidemode suppression ratio is larger than 28 dB and the ratio of the signal to the background noise is larger than 30 dB. With careful adjustment of the loss for each mode, the power difference among those modes can be less than 3 dB. The performance of the eight-wavelength laser system can be further improved with the reduced loss of the external cavity."
Intensity Noise Distribution of Semiconductor Lasers Measured Using Bit-Error-Rate Testers,"[""K.-L. Chen"", ""C. Wang"", ""J. Wilks""]",IEEE Photonics Technology Letters,2006,1,0,https://ieeexplore.ieee.org/document/1703635/,"[""Emcore Corporation, Santa Clara, CA, USA"", ""Avago Technologies, Inc., San Jose, CA, USA""]","[""United States""]","Laser noise has been well studied both theoretically and experimentally. Most of the previous experimental work examined the standard deviation of the noise, with the implicit assumption of a Gaussian noise distribution. We employ a new approach to measure the semiconductor laser noise distribution down to a bit-error ratio (BER) of10−11. This method takes advantage of the high sampling rate of modern BER testers. We found that the noise distribution for a 1310-nm Fabry–PÉrot laser and a 1550-nm distributed-feedback laser are well fitted by Gaussian distributions."
"Power Semiconductor Devices for Hybrid, Electric, and Fuel Cell Vehicles","[""Z. John Shen"", ""Ichiro Omura""]",Proceedings of the IEEE,2007,75,1,https://ieeexplore.ieee.org/document/4168030/,"[""Advanced Power Semiconductor Development Group, Toshiba Corporation, Kawasaki, Japan"", ""School of Electrical Engineering and Computer Science, University of Central Florida, Orlando, FL, USA""]","[""Japan"", ""United States""]","Power semiconductor devices are key components in all power electronic systems, particularly in hybrid, electric, and fuel cell vehicles. This paper reviews the system requirement and latest development of power semiconductor devices including IGBTs, freewheeling diodes, and advanced power module technology in relating to electric vehicle applications. State-of-the-art silicon device technologies, their future trends, and theoretical limits are discussed. Emerging wide bandgap semiconductor devices such as SiC devices and their potential applications in electric vehicles are also reviewed"
First Demonstration of Heterogeneous IGZO/Si CFET Monolithic 3-D Integration With Dual Work Function Gate for Ultralow-Power SRAM and RF Applications,"[""Shu-Wei Chang"", ""Tsung-Han Lu"", ""Cong-Yi Yang"", ""Cheng-Jui Yeh"", ""Min-Kun Huang"", ""Ching-Fan Meng"", ""Po-Jen Chen"", ""Ting-Hsuan Chang"", ""Yan-Shiuan Chang"", ""Jhe-Wei Jhu"", ""Tzu-Chieh Hong"", ""Chu-Chu Ke"", ""Xin-Ren Yu"", ""Wen-Hsiang Lu"", ""Mohammed Aftab Baig"", ""Ta-Chun Cho"", ""Po-Jung Sung"", ""Chun-Jung Su"", ""Fu-Kuo Hsueh"", ""Bo-Yuan Chen"", ""Hsin-Hui Hu"", ""Chien-Ting Wu"", ""Kun-Lin Lin"", ""William Cheng-Yu Ma"", ""Darsen D. Lu"", ""Kuo-Hsing Kao"", ""Yao-Jen Lee"", ""Cheng-Li Lin"", ""Kun-Ping Huang"", ""Kun-Ming Chen"", ""Yiming Li"", ""Seiji Samukawa"", ""Tien-Sheng Chao"", ""Guo-Wei Huang"", ""Wen-Fa Wu"", ""Wen-Hsi Lee"", ""Jiun-Yun Li"", ""Jia-Min Shieh"", ""Jenn-Hwan Tarng"", ""Yeong-Her Wang"", ""Wen-Kuan Yeh""]",IEEE Transactions on Electron Devices,2022,7,0,https://ieeexplore.ieee.org/document/9691894/,"[""MMSL, Industrial Technology Research Institute, Hsinchu, Taiwan"", ""Department of Electrical and Computer Engineering, National Yang Ming Chiao Tung University, Hsinchu, Taiwan"", ""Department of Electronic Engineering, National Taipei University of Technology, Taipei, Taiwan"", ""Department of Electronics Engineering, National Taiwan University, Taipei, Taiwan"", ""Institute of Fluid Science, Tohoku University, Sendai, Japan"", ""Taiwan Semiconductor Research Institute, Hsinchu, Taiwan"", ""Department of Electronic Engineering, Feng Chia University, Taichung, Taiwan"", ""Department of Electrical Engineering, National Cheng Kung University, Tainan, Taiwan"", ""Department of Electrophysics, National Yang Ming Chiao Tung University, Hsinchu, Taiwan"", ""Department of Electrical Engineering, National Sun Yat-sen University, Kaohsiung, Taiwan""]","[""Japan"", ""Taiwan""]","In this article, heterogeneous complementary field-effect-transistor (CFET) constructed by vertically stacking amorphous indium gallium zinc oxide (a-IGZO) n-channel on poly-Si p-channel with their own dielectric layer and work function metal gate inverters were demonstrated. Meanwhile, high-frequency IGZO radio frequency (RF) devices with poly-Si as guard ring material simultaneously were fabricated in the same process. HighfTandfmaxIGZO Radio Frequency Integrated Circuits (RFICs) with the excellent on–off ratio need to be promoted by introducing fluorine-based gas. For the IGZO device in CFET, its threshold voltage can be tuned by the adjusted gate for ideal inverter operation at different supply voltage (VDD). Moreover, the swing of the IGZO transistor and the gain extracted from voltage transfer characteristic (VTC) curves can also be improved when the controlled gate and adjusted gate are connected as an input terminal, but theVTHtunability for the inverter is satisfied in the meantime. We also simulated 6T-SRAM circuit by SPICE model to further investigate the potential of an adjusted gate for optimizing the noise margin during SRAM operation."
A High-Power Fundamental-Mode Lateral Microstructure Laser,"[""Jinyuan Chang"", ""Cong Xiong"", ""Qiong Qi"", ""Shuang Hao"", ""Suping Liu"", ""Xiaoyu Ma""]",IEEE Photonics Technology Letters,2023,0,0,https://ieeexplore.ieee.org/document/10148958/,"[""National Engineering Research Center for Optoelectronic Devices, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China""]","[""China""]","A novel InP-based semiconductor laser with lateral microstructure was investigated and fabricated. By the loss difference between the fundamental mode and high order modes and the expansion of the optical field at the output facet, the single-mode high-power output can be achieved. The maximum roll-off power of lasers increased by 12% under pulse conditions (100μm, 100 Hz). The maximum fundamental transverse mode output power increased by 21% under CW operation. The wavelength at the full-width half maximum of the laser was reduced by 32% at 1100 mA."
Current Transport Mechanism of High-Performance Novel GaN MIS Diode,"[""Tao Zhang"", ""Yanni Zhang"", ""Jincheng Zhang"", ""Xiangdong Li"", ""Yueguang Lv"", ""Yue Hao""]",IEEE Electron Device Letters,2021,8,0,https://ieeexplore.ieee.org/document/9324787/,"[""School of Aerospace Science and Technology, Xidian University, Xi\u2019an, China"", ""Key Laboratory of Wide Band-Gap Semiconductor Materials and Devices, School of Microelectronics, Xidian University, Xi\u2019an, China""]","[""China""]","In this work, we report a high-performance lateral GaN metal-insulator-semiconductor (MIS) diode with a low turn-on voltage (V ON ) of 0.32 V. Both in-depth theoretical calculations on current transport mechanisms and a forward conduction model are demonstrated. Based on the calculation results, the direct tunneling (DT) and thermionic emission (TE) coexist as the forward conduction mechanism, contributing to this low subthreshold swing (SS). Furthermore, a 1.8 nm thick Al 2 O 3 interlayer increases the equivalent Schottky barrier height (ΦB) which effectively suppresses the reverse leakage to4.5×10−4mA/mm at room temperature."
Solution-Processed Inorganic Sb2S3 Nanorods Semiconductor Heterojunction by Low Toxic and Environmentally Friendly Solvent for Efficient Solar Cells,"[""Junwei Chen"", ""Liangxin Zhu"", ""Rong Liu"", ""Chenchen Xu"", ""Zilin Mao"", ""Jia Huang"", ""Yan Zhang"", ""Jun Xu""]",IEEE Electron Device Letters,2022,1,0,https://ieeexplore.ieee.org/document/9819915/,"[""School of Microelectronics, Hefei University of Technology, Hefei, China"", ""Institute of Solid State Physics, Hefei Institutes of Physical Science, Chinese Academy of Sciences, Hefei, China""]","[""China""]","The nanorod/nanowire arrays of narrow-bandgap semiconductors are a kind of great potential light-harvesting material for photovoltaic devices due to their excellent optoelectrical properties. Here, aγ-butyrolactone (GBL) solution-processed inorganic Sb 2 S 3 nanorods on the TiO 2 film is developed to fabricate light-harvesting layer for efficient inorganic Sb 2 S 3 /TiO 2 semiconductor heterojunction thin film solar cells. The morphology, absorption properties, crystallinity and grain orientation of the Sb 2 S 3 nanorods heterojunction film is investigated by scanning electron microscopy (SEM), ultraviolet-visible spectroscopy (UV-vis), X-ray diffraction (XRD) techniques. The inorganic Sb 2 S 3 /TiO 2 nanorods heterojunction thin film solar cells deliver a champion power conversion efficiency of 4.14%, which is a considerable efficiency for the solar cells based on GBL solution-processed inorganic Sb 2 S 3 nanorods heterojunction thin film."
Long-Reach and High-Splitting-Ratio 10G-EPON System With Semiconductor Optical Amplifier and N:1 OSU Protection,"[""Takuya Tsutsumi"", ""Takeshi Sakamoto"", ""Yoshihito Sakai"", ""Toshihito Fujiwara"", ""Hiroshi Ou"", ""Yasutaka Kimura"", ""Ken-Ichi Suzuki""]",Journal of Lightwave Technology,2015,14,0,https://ieeexplore.ieee.org/document/7042259/,"[""NTT Access Network Service Systems Laboratories, Kanagawa, Yokosuka, Japan""]","[""Japan""]","We successfully demonstrate a 41.3-km-reach and 128-split 10G-EPON system with dual-rate semiconductor optical amplifier on a commercial access network infrastructure. It uses N:1 optical subscriber unit (OSU) protection in order to improve system reliability cost-effectively. N:1 OSU protection also can switch from active system to redundant system without any frame loss. Moreover, the quality of bidirectional frame transmission is not degraded after switching, even with four-class priority control. Error free transmission over 130 hours is also confirmed. These results indicate that N:1 OSU protection with automatic level control semiconductor optical amplifiers is a promising approach to practical 10G-EPON systems that are cost-effective and reliable."
Gain dynamics and saturation property of a semiconductor optical amplifier with a carrier reservoir,"[""H. Sun"", ""Q. Wang"", ""H. Dong"", ""G. Zhu"", ""N.K. Dutta"", ""J. Jaques""]",IEEE Photonics Technology Letters,2006,18,0,https://ieeexplore.ieee.org/document/1561330/,"[""Department of Physics, University of Connecticut, Storrs, CT, USA"", ""Lucent Technologies, Inc., Murray Hill, NJ, USA""]","[""United States""]","A model is used to analyze the gain and phase dynamics of a semiconductor optical amplifier with a carrier reservoir (CR-SOA). Coupled rate equations are solved numerically. Due to the fast transition of carriers from the carrier reservoir layer to the active region, the CR-SOA is shown to have faster gain and phase response than a regular SOA. Increasing the injection current will also decrease the response times."
New Evaluation Method for Cross-Contamination of Ion Implantation by Using Grazing Angle Incidence PIXE in Photo-Resist,"[""Satoshi Shibata"", ""Hisako Kamiyanagi"", ""Tetsuyuki Okano"", ""Akira Kitamura""]",IEEE Transactions on Semiconductor Manufacturing,2010,2,0,https://ieeexplore.ieee.org/document/5452972/,"[""Graduate School of Maritime Sciences, Kobe University, Kobe, Hyogo, Japan"", ""Materials Science and Analysis Technology Center, Panasonic Corporation, Moriguchi, Osaka, Japan"", ""Panasonic Semiconductor Engineering Corporation, Tonami, Toyama, Japan""]","[""Japan""]","Two orders of magnitude improvement have been accomplished in detection limit of areal density of impurity atoms introduced into semiconductor devices during ion implantation, for the evaluation of the crossing contamination.Impurity atom concentrations as low as 1 × 10 12 cm -2 can be successfully detected using these new methods. The first point is the use of grazing incidence of 87 ° of the probe beam for particle induced X-ray emission (PIXE) analysis, which lowers the detection limit to 1 × 10 13 cm -2 for arsenic contaminants. The second point is the use of photo-resist covered Si wafers, which allows detection of As cross contamination at normal PIXE beam incidence to the order of 1 × 10 13 cm -2 through the reduction of Si bremsstrahlung background in the X-ray spectra. The combination of both procedures lowers the detected As level to 1 × 10 12 cm -2 ."
Accumulation-Mode Device: New Power MOSFET Breaking Superjunction Silicon Limit by Simulation Study,"[""Baoxing Duan"", ""Yandong Wang"", ""Licheng Sun"", ""Yintang Yang""]",IEEE Transactions on Electron Devices,2020,6,0,https://ieeexplore.ieee.org/document/8989958/,"[""Key Laboratory of the Ministry of Education for Wide Band-Gap Semiconductor Materials and Devices, School of Microelectronics, Xidian University, Xi\u2019an, China""]","[""China""]","In this article, new structures are proposed with an extra electrode for accumulation-mode vertical double-diffused metal-oxide semiconductor (VDMOS) (EA VDMOS) and a gate electrode for accumulation-mode VDMOS (GA VDMOS). For accumulation-mode VDMOS, the drift region is lightly doped to support drain voltage in the OFF-state. A large density of electrons is accumulated to modulate the conductivity of the drift region in the ON-state. It is contradictory to obtain high breakdown voltage (BV) and low specific ON-resistance (R ON,sp ) in the conventional VDMOS, because both of them depend on the doping concentration of the drift region. This contradictory relationship between the BV and R ON,sp is eliminated for EA and GA VDMOS, thereby breaking the superjunction (SJ) silicon limit. Simulation results indicate that R ON,sp of the accumulation-mode VDMOS devices are significantly reduced. The RON,sp of EA and GA VDMOS can be reduced by 60% (0.85 mQ · cm 2 ) and 30% (1.68 mQ · cm 2 ) compared with the SJ VDMOS (2.41 mQ · cm 2 ) at the BV of 600 V, respectively. In addition, the performance of the accumulation-mode VDMOS is independent of charge balance which is necessary for the SJ VDMOS."
0.5-W single transverse-mode operation of an 850-nm diode-pumped surface-emitting semiconductor laser,"[""J.E. Hastie"", ""J.-M. Hopkins"", ""S. Calvez"", ""Chan Wook Jeon"", ""D. Burns"", ""R. Abram"", ""E. Riis"", ""A.I. Ferguson"", ""M.D. Dawson""]",IEEE Photonics Technology Letters,2003,99,2,https://ieeexplore.ieee.org/document/1206753/,"[""Department of Physics, University of Strathclyde, Glasgow, UK"", ""Institute of Photonics, University of Strathclyde, Glasgow, UK""]","[""UK""]","We report the power scaling of a diode-pumped GaAs-based 850-nm vertical external-cavity surface-emitting laser, by use of an intracavity silicon carbide (SiC) heatspreader optically contacted to the semiconductor surface. To our knowledge, this is the first demonstration of bonding of SiC to a III-V semiconductor structure using the technique of liquid capillarity. High output power of >0.5 W in a circularly symmetric, TEM/sub 00/ output beam has been achieved with a spectral shift of only 0.6 nm/W of pump power. No thermal rollover was evident up to the highest pump power available, implying significant further output-power scaling potential using this approach."
Adversarial Defect Detection in Semiconductor Manufacturing Process,"[""Jaehoon Kim"", ""Yunhyoung Nam"", ""Min-Cheol Kang"", ""Kihyun Kim"", ""Jisuk Hong"", ""Sooryong Lee"", ""Do-Nyun Kim""]",IEEE Transactions on Semiconductor Manufacturing,2021,15,0,https://ieeexplore.ieee.org/document/9456937/,"[""Process Development Team, Samsung Electronics, Hwasung, Republic of Korea"", ""Department of Mechanical Engineering, Institute of Advanced Machines and Design, and Institute of Engineering Research, Seoul National University, Seoul, Republic of Korea"", ""Department of Mechanical Engineering, Seoul National University, Seoul, Republic of Korea""]","[""South Korea""]","Detecting defects in the inspection stage of semiconductor manufacturing process is a crucial task to improve yield and productivity as well as wafer quality. Recent Advances in semiconductor process technology have greatly increased the transistor density. As a result, an increasingly high number of defects inevitably emerge and we need a more accurate and efficient detection method to manage them. In this paper, we propose a deep-learning-based defect detection model to expedite the process. It adopts an adversarial network architecture of conditional GAN. The discriminator of an adversarial network architecture helps the detection model learn to detect and classify defects accurately. The high performance is achieved by using Focal Loss, PixelGAN and multi-scale level features, which is shown to be better than the baseline model, CenterNet, when tested for a real industrial dataset."
Effect of Doping on the Optical Characteristics of Quantum-Dot Semiconductor Optical Amplifiers,"[""Omar Qasaimeh""]",Journal of Lightwave Technology,2009,34,0,https://ieeexplore.ieee.org/document/4814688/,"[""Department of Electrical Engineering, Jordan University of Science and Technology, Irbid, Jordan""]","[""Jordan""]","The influence of p-type and n-type doping on the optical characteristics of a quantum-dot semiconductor optical amplifier (SOA) is studied using a rate equation model that takes into account the effect of the multidiscrete energy levels and the charge neutrality relation. Our calculations show that the amplifier optical gain can be greatly enhanced through p-type doping where the doping concentration should not exceed the certain level. We find that increasing the acceptor concentration increases the unsaturated optical gain but at the same time decreases the saturation density and the effective relaxation lifetime. Also our calculation reveals that the use of p-type doping will be associated with an increase in the transparency current where the increase in the transparency current depends on the incident photon energy. On the other hand, we find that it is possible to increase the saturation density and enhance the linearity of the SOA by using n-type doping."
Charge Transport in Magnetic Semiconductor p-n Heterojunctions,"[""Jindong Liu"", ""John A. Peters"", ""Nikhil Rangaraju"", ""Bruce W. Wessels""]",IEEE Transactions on Electron Devices,2015,5,0,https://ieeexplore.ieee.org/document/7163692/,"[""Department of Materials Science and Engineering, Northwestern University, Evanston, IL, USA"", ""Departments of Materials Science and Engineering and Electrical Engineering and Computer Science, Northwestern University, Evanston, IL, USA""]","[""United States""]","Previously, the p-n-p bipolar magnetic junction transistor was demonstrated using a magnetic semiconductor InMnAs as the collector. A current gain β dc as high as 20 of the transistor is observed at 300 K. A negative magnetoamplification of -150% is obtained when the applied magnetic field is 8 T. In order to assess the gain mechanism for such transistors, we measured the minority carrier lifetime in a p-n InMnAs/InAs heterojunction diode. A minority carrier lifetime of 320 ns was obtained at room temperature. For the p-n-p MJT, a decrease in the emitter injection efficiency with the magnetic field is observed for the various base currents, which is attributed to the positive magnetoresistance of the p-type InMnAs. The emitter injection efficiency decreases with the magnetic field leading to the observed negative magnetic amplification."
Proposed scheme for polarization insensitive GaInNAs-based semiconductor optical amplifiers,"[""D. Alexandropoulos"", ""M.J. Adams"", ""Z. Hatzopoulos"", ""D. Syvridis""]",IEEE Journal of Quantum Electronics,2005,17,0,https://ieeexplore.ieee.org/document/1432970/,"[""Communications Laboratory, Department of Informatics and Telecommunications, University of Athens (NKUA), Greece"", ""Electronic Systems Engineering Department, University of Essex, Colchester, UK""]","[""UK"", ""Greece""]","A novel scheme for polarization insensitive GaInNAs-based semiconductor optical amplifiers is proposed in which TE and TM polarization gain is almost equal for GaInNAs quantum wells with GaInAs barriers. The proposed scheme involves the growth of GaInAs metamorphic layers on GaAs. Based on a k /spl middot/ p Hamiltonian that accounts for the N-induced modifications of the bandstructure, we calculate the optical properties of GaInNAs-GaInAs quantum wells and explore the effect of GaInAs barriers on the valence band mixing effects. The TE and TM amplifier gain of GaInNAs-based semiconductor optical amplifiers with GaInAs barriers is then analyzed."
Lateral Nonuniformity Effects of Border Traps on the Characteristics of Metal–Oxide–Semiconductor Field-Effect Transistors Subjected to High-Field Stresses,"[""Jen-Chou Tseng"", ""Jenn-Gwo Hwu""]",IEEE Transactions on Electron Devices,2008,9,0,https://ieeexplore.ieee.org/document/4505441/,"[""Department of Electrical Engineering and the Graduate,Institute of Electronics Engineering, National Taiwan University, Taipei, Taiwan"", ""Department of Electrical Engineering and the Graduate Institute of Electronics Engineering, National Taiwan University, Taipei, Taiwan""]","[""Taiwan""]","The lateral nonuniformity (LNU) effects of border traps are studied by exploring both the high- and low-frequency characteristics in N-type channel metal-oxide-semiconductor field-effect transistors. According to experimental data, the deterioration of nonuniformity is significantly enhanced at low frequencies. The cause may be due to the additional trapped charges of border traps (near-interface oxide traps) under the low-frequency measurement. This model is successfully simulated by the combination of low-frequency C-V curves with the heavily and lightly damaged regions. Additionally, the double-peak charge-pumping current is observed in low-frequency measurements, which can further support our hypothesis that border-trap-enhanced LNU exists. Finally, the geometric effect of the polygate and the thickness effect of the gate oxide are also investigated for the nonuniformity issue."
The Effect of Double-Pass Gain on the Performances of a Quantum-Dot Superluminescent Diode Integrated With a Semiconductor Optical Amplifier,"[""Qi An"", ""Peng Jin"", ""Zuocai Wang"", ""Xinkun Li"", ""Zhanguo Wang""]",Journal of Lightwave Technology,2012,4,0,https://ieeexplore.ieee.org/document/6226817/,"[""Key Laboratory of Semiconductor Materials Science, Chinese Academy of Sciences, Beijing, China""]","[""China""]","We fabricate a quantum-dot (QD) superlumenescent diode (SLD) integrated with a semiconductor optical amplifier (SOA). The integrated device exhibits coordinative working between the SLD and SOA when the two sections are pumped with a series of different currents. However, the SLD source affects the device behavior not via the amount of energy supplied by itself, but via an existing double-pass gain throughout the whole structure. With the help of a QD device model, this behavior is numerically analyzed which explains the origin of competition between different QD states in the emission spectra as well as the strong power-control capability of the SLD source."
A Polarization Insensitive Semiconductor Optical Amplifier,"[""Zhongshu Zhu"", ""Xun Li"", ""Yanping Xi""]",IEEE Photonics Technology Letters,2016,7,0,https://ieeexplore.ieee.org/document/7479471/,"[""Department of Electrical and Computer Engineering, McMaster University, Hamilton, ON, Canada"", ""Wuhan National Laboratory for Optoelectronic, Huazhong University of Science and Technology, Wuhan, China"", ""School of Optical and Electronic Information, Huazhong university of Science and Technology, Wuhan, China""]","[""China"", ""Canada""]","This letter proposes an integrated InGaAsP-InP/silicon-on-insulator (SOI) polarization insensitive semiconductor optical amplifier (SOA). The SOA consists of an SOI waveguide-based polarization diversity circuit and an InGaAsP-InP gain block. Input light with arbitrary linear polarization state will pass through the gain block twice for a roundtrip with mutually orthogonal polarization state in its forward and backward path, respectively. As such, the polarization-dependent gain (PDG) is effectively reduced. Since the returning path is not spatially overlapped with the forward path, no extra circulator is needed and the device still has two separate ports, one for input and one for output. Simulation results show that the PDG is negligibly small and the device has a broad working band of 60 nm for a PDG below 0.5 dB. This design is compatible with the mature semiconductor fabrication technology and can be monolithically integrated with other optical components."
