patent_title,IPC_1,IPC_2,IPC_3,IPC_4,inventor_countries,coords
Method of coating semiconductor substrates,B05D,C23C,,,"[""US""]","[[""40.6984"", ""-74.4015""], [""40.8015"", ""-75.6102""]]"
Process for operating a charge-coupled arrangement in accordance with the charge-coupled device principle,H01L,,,,"[""DE""]","[[""48.0677"", ""11.3797""]]"
Single active element controlled-inversion semiconductor storage cell devices and storage matrices employing same,G11C,H01L,H03K,,"[""US""]","[[""42.3834"", ""-71.4162""]]"
Semiconductor device with a thermal protective device,H03K,,,,"[""JP""]","[[""34.7862"", ""135.408""], [""34.7862"", ""135.408""]]"
Hetero-structure injection laser,H01S,,,,"[""JP""]","[[""35.6602"", ""139.283""], [""35.6602"", ""139.283""], [""35.7484"", ""139.639""], [""35.7097"", ""139.454""]]"
Series read only memory structure,G11C,,,,"[""US""]","[[""32.9537"", ""-96.8903""]]"
Schottky barrier semiconductor device and method of making same,H01L,,,,"[""US""]","[[""40.2457"", ""-74.846""], [""40.3493"", ""-74.6593""], [""40.6554"", ""-74.3899""]]"
Polychromatic monolithic semiconductor assembly,H01L,,,,"[""FR""]","[[""49.1813"", ""-0.363562""], [""49.1813"", ""-0.363562""]]"
Drain extensions for closed COS/MOS logic devices,H01L,,,,"[""US""]","[[""40.5684"", ""-74.5385""]]"
Monolithic extrinsic silicon infrared detectors with an improved charge collection structure,H01L,G11C,,,"[""US""]","[[""33.6633"", ""-117.903""], [""33.6783"", ""-118""]]"
Bucket brigade device and process,H01L,G11C,,,"[""US""]","[[""38.0464"", ""-84.497""], [""38.9014"", ""-77.2652""]]"
Semiconductor photodiodes,H01L,,,,"[""JP""]","[[""34.4068"", ""132.524""], [""35.7994"", ""139.469""], [""35.7252"", ""139.477""], [""35.7355"", ""139.55""]]"
Light-controlled thyristor with anode-base surface firing,H01L,,,,"[""CH""]","[[""47.4825"", ""8.18931""], [""47.4825"", ""8.20857""]]"
Multi-layer metal connecting contact and method for making it,H01L,,,,"[""DE""]","[[""49.1434"", ""9.12406""], [""49.1911"", ""9.22484""], [""49.1434"", ""9.12406""]]"
Method of assembling a hermetically sealed semiconductor unit,H01L,,,,"[""US""]","[[""32.9628"", ""-117.036""]]"
Ferroelectric imaging system,H01J,,,,"[""US""]","[[""32.9482"", ""-96.7297""], [""33.0137"", ""-96.6925""]]"
High current low voltage liquid cooled switching regulator DC power supply,H02M,,,,"[""US""]","[[""33.4484"", ""-112.074""], [""33.4484"", ""-112.074""]]"
Field programmable read-only-memory,G11C,,,,"[""US""]","[[""44.5646"", ""-123.262""]]"
Method for contacting contact areas located on semiconductor bodies,H01R,,,,"[""DE""]","[[""49.1423"", ""9.21865""], [""49.1423"", ""9.21865""], [""49.0784"", ""9.06744""], [""49.0446"", ""9.03814""]]"
Cooling device for a liquid-cooled semiconductor power component,F28F,H01L,,,"[""DE""]","[[""49.5055"", ""8.60246""]]"
Method of bonding microelectronic chips,B23K,H01L,,,"[""US""]","[[""40.6554"", ""-74.3899""], [""40.3353"", ""-75.9279""]]"
Wire clamp,B25B,,,,"[""US""]","[[""37.3688"", ""-122.036""]]"
Spray etch dicing method,G03C,,,,"[""US""]","[[""42.2965"", ""-71.2926""], [""42.4251"", ""-71.0662""]]"
Fast-sweep growth method for growing layers using liquid phase epitaxy,H01L,,,,"[""US""]","[[""42.5048"", ""-71.1956""]]"
Method of making silicon-insulator-polysilicon infrared image device utilizing epitaxial deposition and selective etching,H01L,,,,"[""US""]","[[""38.8823"", ""-77.1711""], [""38.8051"", ""-77.047""]]"
Self-aligning double polycrystalline silicon etching process,H01L,,,,"[""US""]","[[""37.3688"", ""-122.036""]]"
Electrodeposition of polycrystalline silicon from a molten fluoride bath and product,C25D,B32B,,,"[""US""]","[[""40.6301"", ""-74.4274""]]"
Semiconductor etching,C25F,,,,"[""GB""]","[[""51.6467"", ""0.0544098""]]"
Manufacturing method of semiconductor devices,H01L,B05D,,,"[""JP""]","[[""35.445"", ""139.637""], [""35.445"", ""139.637""]]"
Cadmium sulfide photovoltaic cell and method of fabrication,H01L,,,,"[""US""]","[[""33.8753"", ""-117.566""]]"
Method and device for detecting radiatons,H01J,,,,"[""FR""]","[[""45.1437"", ""5.71927""], [""45.1237"", ""5.69781""]]"
Arrangement for supplying I.sup.2 L circuits with differing currents,H03K,H01L,,,"[""DE""]","[[""48.1371"", ""11.5754""]]"
Data smear compensation in charge-transfer-device analog shift registers,G11C,,,,"[""US""]","[[""33.8901"", ""-117.825""]]"
Semiconductor memory device,G11C,,,,"[""JP""]","[[""37.447"", ""138.851""], [""34.834"", ""135.554""]]"
Controllable impedance attenuator having all connection contacts on one side,H01L,,,,"[""NL""]","[[""51.4393"", ""5.47863""], [""51.4393"", ""5.47863""], [""51.4393"", ""5.47863""]]"
Low parasitic capacitance diode,H01L,,,,"[""US""]","[[""42.4473"", ""-71.2245""], [""42.3839"", ""-71.6325""]]"
Photocoupler,H01L,,,,"[""JP""]","[[""36.3961"", ""140.535""], [""36.5991"", ""140.65""]]"
Junction type field effect transistor,H01L,,,,"[""DE""]","[[""49.1423"", ""9.21865""]]"
Signal mixer including resistive and normal gate field-effect transistor,H01L,,,,"[""NL""]","[[""51.4393"", ""5.47863""]]"
MOS type semiconductor device,H01L,,,,"[""JP""]","[[""34.7675"", ""135.634""], [""34.7675"", ""135.634""], [""34.7675"", ""135.634""]]"
Photoelectric element in a solid-state image pick-up device,H01L,,,,"[""JP""]","[[""35.6602"", ""139.283""], [""35.7129"", ""139.564""]]"
Semiconductor device and a logical circuit formed of the same,H01L,,,,"[""JP""]","[[""35.445"", ""139.637""]]"
Integrated circuit device,H01L,,,,"[""JP""]","[[""35.446"", ""139.431""], [""35.445"", ""139.637""]]"
Composite JFET-bipolar structure,H01L,,,,"[""US""]","[[""37.4443"", ""-122.16""]]"
High field capacitor structure employing a carrier trapping region,H01L,,,,"[""US""]","[[""41.1613"", ""-73.862""], [""41.0963"", ""-73.7934""]]"
Semiconductor luminescence device with housing,H01L,,,,"[""DE""]","[[""49.1775"", ""9.04676""]]"
Stud-type semiconductor device,H01L,,,,"[""JP""]","[[""35.445"", ""139.637""]]"
Tetrode transistor memory logic cell,G11C,,,,"[""FR""]","[[""48.8535"", ""2.34839""], [""48.8535"", ""2.34839""]]"
Method of producing a semiconductor component,H01L,,,,"[""DE""]","[[""48.1371"", ""11.5754""], [""48.3442"", ""12.1311""]]"
Semiconductor device insulation method,B01J,H01L,H05K,,"[""JP""]","[[""35.7689"", ""139.485""]]"
Electronic circuit block,G04C,,,,"[""JP""]","[[""35.8529"", ""139.412""]]"
Radiation responsive current generating cell and method of forming same,H01l,,,,"[""US""]","[[""33.4484"", ""-112.074""], [""33.4484"", ""-112.074""], [""33.4255"", ""-111.94""], [""33.4942"", ""-111.926""]]"
Solar energy assembly,H01L,,,,"[""US""]","[[""42.4259"", ""-71.3039""]]"
Solar battery and method of manufacture,H01L,,,,"[""JP""]","[[""36.0321"", ""138.114""], [""36.0321"", ""138.114""]]"
P.sup.+ Buried layer for I.sup.2 L isolation by ion implantation,H01L,,,,"[""US""]","[[""33.7458"", ""-117.826""]]"
High performance silicon wafer and fabrication process,H01L,,,,"[""US""]","[[""41.584"", ""-73.8087""], [""41.7066"", ""-73.9284""]]"
Method of low dose phoshorus implantation for oxide passivated diodes in <10> P-type silicon,H01L,,,,"[""US""]","[[""42.4964"", ""-83.2227""], [""42.4734"", ""-83.2219""]]"
Process for providing self-aligned doping regions by ion-implantation and lift-off,H01L,B01J,,,"[""US""]","[[""44.6698"", ""-74.9813""]]"
Manufacture of an I.sup.2 device utilizing staged selective diffusion thru a polycrystalline mask,H01L,,,,"[""JP""]","[[""34.6845"", ""135.805""]]"
Method of plating by means of light,C25D,H01L,,,"[""US""]","[[""44.127"", ""-70.892""]]"
Integrated circuit test structure,G01R,H01L,,,"[""DE"", ""US""]","[[""41.5966"", ""-73.9112""], [""41.5966"", ""-73.9112""], [""48.7424"", ""8.96281""]]"
Planar laser mount,H01S,,,,"[""GB""]","[[""51.7345"", ""0.473053""], [""51.7617"", ""-0.0112898""]]"
Solid state transducer and method of making same,G01L,,,,"[""US""]","[[""37.4443"", ""-122.16""]]"
Circuit arrangement and operating process for converting an analogue signal into a digital signal,H03K,,,,"[""DE""]","[[""48.1371"", ""11.5754""]]"
Tunable infrared detector with narrow bandwidth,H01L,,,,"[""US""]","[[""35.6225"", ""-117.67""]]"
Light-activated semiconductor device package unit,H01L,,,,"[""US""]","[[""42.8632"", ""-73.7812""], [""42.8142"", ""-73.9396""]]"
Substrate-fed injection-coupled memory,H01L,G11C,,,"[""PH""]","[[""14.4804"", ""120.981""]]"
"""Counting level """"1"""" bits to minimize ROM active elements""",G11C,,,,"[""JP""]","[[""35.5305"", ""139.703""], [""35.445"", ""139.637""], [""35.446"", ""139.431""], [""35.445"", ""139.637""]]"
CCD Storage module,G11C,,,,"[""DE""]","[[""48.1371"", ""11.5754""], [""48.0993"", ""11.4051""]]"
Memory transistor,G11C,,,,"[""US""]","[[""38.9421"", ""-77.1203""]]"
Fabrication of gallium arsenide MOS devices,B01J,,,,"[""US""]","[[""40.6834"", ""-74.4426""], [""40.6337"", ""-74.4074""], [""40.8539"", ""-74.8292""], [""40.6834"", ""-74.4426""]]"
Method of manufacturing an indicating element,B01J,,,,"[""JP""]","[[""35.5642"", ""139.443""], [""35.6611"", ""139.415""], [""35.3747"", ""139.242""]]"
Method for manufacture of a moisture sensor,B01J,,,,"[""US""]","[[""41.5034"", ""-74.0104""], [""41.7066"", ""-73.9284""]]"
Connector,H01R,H05R,,,"[""US""]","[[""44.9497"", ""-93.0931""]]"
Electronic table calculator using liquid crystal display,G02F,,,,"[""JP""]","[[""36.0321"", ""138.114""]]"
Method for making narrow channel FET by masking and ion-implantation,H01L,,,,"[""US""]","[[""39.6284"", ""-84.1594""], [""39.7589"", ""-84.1916""]]"
Method of manufacturing a semiconductor device and semiconductor device manufactured according to the method,C25D,,,,"[""NL""]","[[""51.4393"", ""5.47863""], [""51.4393"", ""5.47863""]]"
Process for mounting components on a base by means of thixotropic material,B29C,,,,"[""DE""]","[[""48.1371"", ""11.5754""]]"
Method of making a short gate field effect transistor,H01L,,,,"[""US""]","[[""40.4209"", ""-74.5607""]]"
Transistor logic circuits,H03K,,,,"[""GB""]","[[""53.4795"", ""-2.24511""]]"
Fet-teld combination with capacitively coupled output electrode means,H01L,H03K,,,"[""US""]","[[""40.3334"", ""-74.6004""]]"
Input stage for a CTD low-pass filter,H03H,H01L,G11C,,"[""FR""]","[[""48.8535"", ""2.34839""], [""48.8535"", ""2.34839""], [""48.8535"", ""2.34839""]]"
A/D Converter,H03K,,,,"[""US""]","[[""42.8265"", ""-73.9643""], [""42.8265"", ""-73.9643""]]"
Superconducting junctions utilizing a binary semiconductor barrier,H01L,,,,"[""US""]","[[""40.5743"", ""-74.6099""], [""40.3765"", ""-74.2443""]]"
Power field effect transistors,H01L,,,,"[""US""]","[[""41.584"", ""-73.8087""]]"
Semiconductor device,H01L,,,,"[""JP""]","[[""35.7252"", ""139.477""]]"
Electrically programmable read-only-memory device,H01L,,,,"[""US""]","[[""33.1581"", ""-117.351""], [""32.9628"", ""-117.036""], [""33.1217"", ""-117.081""], [""39.5261"", ""-119.813""]]"
High power MOS device and fabrication method therefor,H01L,,,,"[""US""]","[[""37.3688"", ""-122.036""], [""37.2871"", ""-121.945""]]"
Semiconductor luminescent display apparatus,H01L,,,,"[""JP""]","[[""35.6828"", ""139.759""], [""35.6828"", ""139.759""], [""35.3296"", ""139.544""]]"
Power module with isolated substrates cooled by integral heat-energy-removal means,H01L,,,,"[""US""]","[[""42.8142"", ""-73.9396""], [""42.8142"", ""-73.9396""], [""42.8265"", ""-73.9643""]]"
Photosensitive self scan array with noise reduction,H04N,H01L,H03B,,"[""FR""]","[[""43.7227"", ""7.11142""], [""48.5151"", ""2.6347""]]"
Lithographic offset alignment techniques for RAM fabrication,B01J,,,,"[""US""]","[[""32.9482"", ""-96.7297""]]"
Method and apparatus for controlling bow in venetian blind slats,B21D,,,,"[""US""]","[[""41.2552"", ""-76.9129""]]"
Method of producing a P-N junction utilizing polycrystalline silicon,H01L,,,,"[""JP""]","[[""35.2731"", ""139.665""], [""35.6828"", ""139.759""], [""33.2394"", ""131.61""], [""35.445"", ""139.637""]]"
Method for forming an aluminum interconnect structure on an integrated circuit chip,C25D,,,,"[""US""]","[[""33.1581"", ""-117.351""]]"
Process for preparing silane grafted polymers,C08L,C08F,,,"[""US""]","[[""40.5743"", ""-74.6099""], [""40.5463"", ""-74.466""]]"
Method for encapsulating a semiconductor diode,C03C,H01L,,,"[""US""]","[[""33.4942"", ""-111.926""], [""33.4255"", ""-111.94""]]"
Planar reactive evaporation apparatus for the deposition of compound semiconducting films,F22B,,,,"[""US""]","[[""34.0356"", ""-118.689""]]"
Display,G09F,,,,"[""US""]","[[""44.9199"", ""-92.9339""], [""45.0838"", ""-93.0069""]]"
Irreversible semiconductor switching element and semiconductor memory device utilizing the same,H01L,,,,"[""JP""]","[[""35.7994"", ""139.469""], [""35.6852"", ""139.573""], [""35.7252"", ""139.477""], [""35.7252"", ""139.477""]]"
System for limiting power dissipation in a power transistor to less than a destructive level,H01L,,,,"[""US""]","[[""37.5573"", ""-122.363""]]"
Radiation detector,H01L,G01T,,,"[""US""]","[[""42.8142"", ""-73.9396""], [""42.8142"", ""-73.9396""], [""42.8265"", ""-73.9643""]]"
Semiconductor device having complementary transistor structures and method of manufacturing same,H01L,,,,"[""NL""]","[[""51.4393"", ""5.47863""], [""51.4393"", ""5.47863""]]"
Low forward voltage drop semiconductor device having polycrystalline layers of different resistivity,H01L,,,,"[""JP""]","[[""34.834"", ""135.554""], [""36.5991"", ""140.65""], [""36.5991"", ""140.65""]]"
Method for forming p-n junctions and solar-cells by laser-beam processing,H01L,,,,"[""US""]","[[""35.9604"", ""-83.921""], [""35.9604"", ""-83.921""]]"
Method of controlled surface texturization of crystalline semiconductor material,H01L,,,,"[""US""]","[[""37.3541"", ""-121.955""], [""37.3736"", ""-122.219""], [""37.5165"", ""-122.294""], [""37.4275"", ""-122.17""]]"
Method for epitaxial production of semiconductor silicon carbide utilizing a close-space sublimation deposition technique,H01L,,,,"[""PH""]","[[""14.4804"", ""120.981""], [""14.4804"", ""120.981""]]"
Method of depositing III-V compounds on group IV element wafers by the cluster ion technique,H01L,C23C,,,"[""JP""]","[[""35.4285"", ""140.288""]]"
Method of producing an electric component consisting of elements joined by an insulating co-polymer layer,B32B,,,,"[""DE""]","[[""48.1371"", ""11.5754""]]"
Method for providing low cost wafers for use as substrates for integrated circuits,H01L,,,,"[""IN"", ""US""]","[[""28.4646"", ""77.0299""], [""33.2"", ""-117.243""]]"
Photoconductor for GaAs laser addressed devices,H01C,,,,"[""FR"", ""US""]","[[""37.2638"", ""-122.023""], [""48.7619"", ""1.94515""], [""37.2638"", ""-122.023""], [""37.3362"", ""-121.891""]]"
Chip carrier,H05K,,,,"[""US""]","[[""40.3089"", ""-76.5932""], [""40.2663"", ""-76.8861""], [""33.1434"", ""-117.166""], [""40.2102"", ""-77.0047""], [""40.2663"", ""-76.8861""]]"
Impedance trim network for use in integrated circuit applications,G05F,,,,"[""US""]","[[""33.4151"", ""-111.831""]]"
Beam lead rod assembly,H01P,,,,"[""US""]","[[""37.3688"", ""-122.036""]]"
Digital to analog and analog to digital converters using CCD ramp generator,H03K,,,,"[""FR""]","[[""48.8535"", ""2.34839""], [""48.8535"", ""2.34839""]]"
N-channel memory field effect transistor,H01L,,,,"[""DE""]","[[""48.1371"", ""11.5754""]]"
Multicolor light emitting diode array,H01L,,,,"[""US""]","[[""41.2709"", ""-73.7776""], [""41.2709"", ""-73.7776""]]"
Semiconductor apparatus,H01L,,,,"[""US""]","[[""44.9708"", ""-93.5119""], [""45.0065"", ""-93.4665""]]"
Semiconductor apparatus,H01L,,,,"[""US""]","[[""44.9708"", ""-93.5119""]]"
Solid-state imaging device,H01L,,,,"[""JP""]","[[""35.6602"", ""139.283""], [""35.6828"", ""139.759""], [""35.7252"", ""139.477""]]"
Radiation hardened drain-source protected MNOS transistor,H01L,,,,"[""US""]","[[""39.272"", ""-76.7318""], [""39.1626"", ""-76.6251""], [""39.1626"", ""-76.6251""]]"
Radiation dose rate hardened light detector,H01L,,,,"[""US""]","[[""34.8548"", ""-106.705""]]"
Solid-state imaging device,H01L,,,,"[""JP""]","[[""35.6602"", ""139.283""], [""35.6828"", ""139.759""], [""35.7252"", ""139.477""]]"
Radiant energy sensor,H01L,,,,"[""US""]","[[""40.4417"", ""-79.9901""], [""40.4284"", ""-79.6975""]]"
Thyristor containing channel stopper,H01L,,,,"[""GB"", ""NL""]","[[""53.4079"", ""-2.16024""], [""51.8475"", ""5.86378""]]"
Method of manufacturing a semiconductor device and device manufactured by using the method,H01L,HO1L,,,"[""NL""]","[[""51.4393"", ""5.47863""], [""51.4393"", ""5.47863""]]"
Integrated circuit having complementary bipolar transistors,H01L,,,,"[""FR"", ""NL""]","[[""49.239"", ""-0.326946""], [""49.1813"", ""-0.363562""], [""49.1771"", ""-0.320223""], [""51.5173"", ""5.50084""]]"
Glass-encapsulated semiconductor device containing cylindrical stack of semiconductor pellets,H01L,,,,"[""JP""]","[[""36.5991"", ""140.65""], [""36.5991"", ""140.65""]]"
Aluminum-stabilized multifilamentary superconductor and method of its manufacture,H01V,,,,"[""US""]","[[""40.6984"", ""-74.4015""]]"
Method of fabricating a two-phase charge coupled device,H01L,,,,"[""US""]","[[""33.8916"", ""-118.395""]]"
Polysilicon mask for etching thick insulator,H01L,,,,"[""US""]","[[""44.9773"", ""-93.2655""], [""44.7319"", ""-93.2177""], [""45.0838"", ""-93.259""], [""37.3688"", ""-122.036""], [""44.8479"", ""-93.0428""]]"
Glass passivated gold diffused rectifier pellet and method for making,H01L,,,,"[""US""]","[[""42.932"", ""-76.5672""], [""42.947"", ""-76.4291""]]"
Method and apparatus for adjusting electrical networks consisting of synthetic foils,B23K,,,,"[""DE""]","[[""48.1371"", ""11.5754""], [""48.1371"", ""11.5754""]]"
Methods and devices for detecting hard radiation,G01T,,,,"[""FR""]","[[""48.8535"", ""2.34839""], [""48.8535"", ""2.34839""], [""48.6612"", ""2.33224""]]"
Electro-optical circuits and manufacturing,G02B,,,,"[""US""]","[[""40.5432"", ""-74.3632""]]"
Monolithic structure for storing electrical charges,H01G,,,,"[""FR""]","[[""48.8535"", ""2.34839""], [""48.8535"", ""2.34839""]]"
Charge transfer device transversal filter having electronically controllable weighting factors,H03H,H01L,G11C,,"[""US""]","[[""41.3723"", ""-73.7335""]]"
Capacitor dielectric with internal barrier layers and a method for its production,H01L,,,,"[""DE""]","[[""47.8542"", ""12.3455""], [""48.1371"", ""11.5754""]]"
Majority charge carrier bipolar diode with fully depleted barrier region at zero bias,H01L,,,,"[""GB""]","[[""51.3096"", ""-0.0557157""]]"
Solidstate light-emitting device,H01L,H01S,,,"[""JP""]","[[""34.8813"", ""135.601""], [""34.8813"", ""135.601""], [""34.8813"", ""135.601""]]"
Complementary MOSFET device,H01L,,,,"[""JP""]","[[""35.445"", ""139.637""], [""35.3648"", ""139.465""]]"
Method of fabricating conductive buried regions in integrated circuits and the resulting structures,H01L,,,,"[""US""]","[[""37.3688"", ""-122.036""]]"
Monolithic semiconductor integrated circuit-ferroelectric memory drive,H01G,,,,"[""US""]","[[""37.4443"", ""-122.16""]]"
Monolithic semiconductor integrated circuit ferroelectric memory device,H01G,,,,"[""US""]","[[""37.4443"", ""-122.16""]]"
Process for fabricating insulated-gate field-effect transistors with self-aligned contacts,H01L,,,,"[""US""]","[[""34.152"", ""-118.828""]]"
Method of making a heat sink mounting,H01R,,,,"[""US""]","[[""40.2987"", ""-83.068""]]"
Method for forming ion-implanted self-aligned gate structure by controlled ion scattering,H01L,,,,"[""US""]","[[""39.6284"", ""-84.1594""]]"
Method of limiting stacking faults in oxidized silicon wafers,H01L,,,,"[""US""]","[[""40.7187"", ""-74.5692""], [""40.6834"", ""-74.4426""], [""40.6984"", ""-74.4015""], [""40.6984"", ""-74.4015""]]"
Process for fabrication of merged transistor logic (MTL) cells,H01L,,,,"[""US""]","[[""38.9584"", ""-77.358""]]"
Method of making camera tube target by modifying Schottky barrier heights,H01L,,,,"[""US""]","[[""40.3493"", ""-74.6593""], [""40.3493"", ""-74.6593""]]"
Method for depositing epitaxial monocrystalline semiconductive layers via sliding liquid phase epitaxy,H01L,,,,"[""DE""]","[[""48.0677"", ""11.3797""], [""48.1371"", ""11.5754""]]"
Process for producing defect-free semiconductor devices having overlapping high conductivity impurity regions,H01L,,,,"[""DE"", ""US""]","[[""41.584"", ""-73.8087""], [""48.5878"", ""8.60523""]]"
Method for selectively nickeling a layer of polymerized polyester resin,B05C,B44D,C03C,,"[""US""]","[[""42.4473"", ""-71.2245""], [""42.4473"", ""-71.2245""]]"
CCD Comparator,G11C,H01L,,,"[""US""]","[[""33.7483"", ""-118.371""]]"
Tunable microwave oscillator,H03B,,,,"[""DE""]","[[""48.3185"", ""11.5974""]]"
N-channel memory field effect transistor,H01L,,,,"[""DE""]","[[""48.1371"", ""11.5754""]]"
Thyristor with gate and emitter shunts distributed over the cathode surface,H01L,,,,"[""CH""]","[[""47.4786"", ""8.31539""]]"
Gate-controlled reverse conducting thyristor,H01L,,,,"[""CH""]","[[""47.4786"", ""8.31539""]]"
Semiconductor integrated flip-flop circuit device including merged bipolar and field effect transistors,H01L,,,,"[""JP""]","[[""34.711"", ""137.726""]]"
High frequency semiconductor package,H01L,,,,"[""US""]","[[""33.4484"", ""-112.074""], [""33.4484"", ""-112.074""]]"
Flat package semiconductor device having high explosion preventing capacity,H01L,,,,"[""JP""]","[[""34.7289"", ""135.413""], [""34.7862"", ""135.408""]]"
Radiation hardened semiconductor photovoltaic generator,H01L,,,,"[""UA"", ""RU""]","[[""55.6026"", ""37.3479""], [""55.6026"", ""37.3479""], [""55.6026"", ""37.3479""], [""55.6026"", ""37.3479""], [""55.6026"", ""37.3479""], [""48.5106"", ""32.2656""]]"
Method of manufacturing a semiconductor device,H01L,,,,"[""NL""]","[[""51.4393"", ""5.47863""], [""51.4393"", ""5.47863""], [""51.4393"", ""5.47863""], [""51.4393"", ""5.47863""]]"
Hydrogen annealing process for stabilizing metal-oxide-semiconductor structures,H01I,,,,"[""US""]","[[""40.6984"", ""-74.4015""], [""40.6834"", ""-74.4426""]]"
Method involving pulsed light processing of semiconductor devices,H01L,,,,"[""US""]","[[""42.6334"", ""-71.3162""]]"
Fabrication of high speed transistors by compensation implant near collector-base junction,H01L,,,,"[""US""]","[[""40.5463"", ""-74.466""], [""40.3295"", ""-75.9652""]]"
Forming adjacent impurity regions in a semiconductor by oxide masking,H01L,,,,"[""US""]","[[""41.7066"", ""-73.9284""]]"
Process of producing semiconductor thermally sensitive switching element by selective implantation of inert ions in thyristor structure,H01L,,,,"[""JP""]","[[""34.7862"", ""135.408""], [""34.7862"", ""135.408""], [""34.7862"", ""135.408""], [""34.7862"", ""135.408""]]"
Method of manufacturing integrated injection logic semiconductor devices utilizing self-aligned double-diffusion techniques,H01L,,,,"[""JP""]","[[""35.445"", ""139.637""], [""35.445"", ""139.637""], [""35.445"", ""139.637""], [""35.445"", ""139.637""], [""35.445"", ""139.637""], [""35.445"", ""139.637""]]"
High density N-channel silicon gate read only memory,H01L,,,,"[""US""]","[[""29.7589"", ""-95.3677""]]"
Method of making a high density floating gate electrically programmable ROM,H01L,,,,"[""US""]","[[""29.7589"", ""-95.3677""]]"
Method for manufacturing a layer of amorphous silicon usable in an electronic device,C23C,,,,"[""FR""]","[[""48.8535"", ""2.34839""], [""48.8535"", ""2.34839""]]"
Apparatus for the formation of epitaxial layers doped with conductivity-determining impurities by ion deposition,A61K,,,,"[""US""]","[[""41.5356"", ""-73.8987""], [""41.5034"", ""-74.0104""], [""41.7066"", ""-73.9284""]]"
Low frequency power amplifier using MOS FET's,H03F,,,,"[""JP""]","[[""34.8276"", ""137.379""]]"
Semiconductor transducer,G01B,,,,"[""JP""]","[[""36.5991"", ""140.65""], [""36.5991"", ""140.65""], [""36.5991"", ""140.65""], [""34.834"", ""135.554""], [""36.3961"", ""140.535""], [""36.5373"", ""140.531""]]"
Gate electrode for MNOS semiconductor memory device,H01L,,,,"[""US""]","[[""42.4366"", ""-71.505""], [""42.2398"", ""-71.3701""]]"
Nonvolatile semiconductive memory device and method of its manufacture,H01L,,,,"[""US""]","[[""40.5743"", ""-74.6099""], [""40.5684"", ""-74.5385""]]"
Junction-storage JFET bucket-brigade structure,H01L,G11C,,,"[""US""]","[[""43.0392"", ""-76.3041""], [""42.8265"", ""-73.9643""]]"
"High beta, high frequency transistor structure",H01L,,,,"[""US""]","[[""37.3362"", ""-121.891""], [""37.4443"", ""-122.16""]]"
Power transistor,H01L,,,,"[""FR""]","[[""49.1835"", ""-0.441166""]]"
Transistor,H01L,,,,"[""JP""]","[[""35.3296"", ""139.544""], [""35.5305"", ""139.703""], [""35.5305"", ""139.703""], [""35.2729"", ""139.593""], [""35.445"", ""139.637""]]"
Lead electrode structure for a semiconductor chip carried on a flexible carrier,H01L,,,,"[""JP""]","[[""34.6845"", ""135.805""], [""34.6845"", ""135.805""], [""35.021"", ""135.756""]]"
Lead terminal for button diode,H01L,,,,"[""US""]","[[""41.8756"", ""-87.6244""]]"
Semiconductor electric circuit device with plural-layer aluminum base metallization,H01L,,,,"[""DE""]","[[""48.7984"", ""9.06244""], [""48.492"", ""9.21141""], [""48.4657"", ""9.2255""], [""48.8878"", ""11.0192""]]"
Semiconductor device having electrode-lead layer units of differing thicknesses,H01L,,,,"[""JP""]","[[""35.5305"", ""139.703""], [""35.445"", ""139.637""], [""35.5305"", ""139.703""]]"
Arrangement for heat transfer between a heat source and a heat sink,H01L,,,,"[""US""]","[[""38.0687"", ""-78.8894""], [""38.0293"", ""-78.4767""]]"
Cooling container for cooling a semiconductor element,H01L,,,,"[""DE""]","[[""49.5055"", ""8.60246""], [""49.5311"", ""8.73285""], [""49.5055"", ""8.60246""]]"
Color television camera,H04N,,,,"[""JP""]","[[""35.5305"", ""139.703""]]"
Magnetic head using a magnetic field-sensitive element and method of manufacturing same,G11B,,,,"[""NL""]","[[""51.6568"", ""5.28933""], [""51.6568"", ""5.28933""]]"
Superconducting memory array configurations which avoid spurious half-select condition in unselected cells of the array,G11C,,,,"[""US""]","[[""41.2709"", ""-73.7776""]]"
Semiconductor memory device,G11C,,,,"[""JP""]","[[""35.7097"", ""139.454""], [""35.7097"", ""139.454""]]"
High density semiconductor memory device formed in a well and having more than one capacitor,G11C,,,,"[""JP""]","[[""35.446"", ""139.431""], [""35.5305"", ""139.703""]]"
Method of manufacturing Si gate MOS integrated circuit,B01J,,,,"[""US""]","[[""37.2638"", ""-122.023""]]"
Method for making a complementary silicon gate MOS structure,H01L,,,,"[""US""]","[[""37.3229"", ""-122.032""], [""37.3362"", ""-121.891""]]"
Hermetic glass encapsulation for semiconductor die and method,B01J,,,,"[""US""]","[[""33.4942"", ""-111.926""]]"
Galium aluminum arsenide graded index waveguide,H01L,,,,"[""US""]","[[""37.271"", ""-79.9414""]]"
Silicon solar cell assembly,H01L,,,,"[""US""]","[[""35.0841"", ""-106.651""], [""35.0841"", ""-106.651""], [""35.0841"", ""-106.651""]]"
Process for producing electronic grade aluminum nitride films utilizing the reduction of aluminum oxide,H01L,,,,"[""US""]","[[""41.4201"", ""-73.9546""]]"
Method of improving the adherence of metallic conductive lines on polyimide layers,B05D,,,,"[""DE""]","[[""53.6003"", ""9.83639""], [""48.6392"", ""9.01157""], [""49.4025"", ""8.63306""], [""48.7084"", ""9.00355""], [""48.7084"", ""9.00355""], [""48.5613"", ""11.2654""]]"
